name,category,address,score,eval_cnt,review_cnt,lat,lng,distance,JMS
상남스시,"초밥,롤",신대방동 361-50,4.1,37,132,37.4981715,126.9238203,1628.912095910924,7.96
일상식당,일식,봉천동 707-3,4.4,26,30,37.4913902,126.9276786,810.383942260207,7.21
가네끼스시,"초밥,롤",신대방동 395-69,4.1,20,108,37.4912431,126.9240825,917.789803091108,6.9
스시이치자,"초밥,롤",신림동 1459-17,4.9,12,39,37.4867785,126.9253757,469.1420259239256,6.53
얹다,일본식라면,신림동 468-1,4.7,15,9,37.4859408,126.9211553,772.4243987623607,6.16
삼촌집,"초밥,롤",신림동 1458-2,4.7,11,16,37.4872926,126.9257245,482.6311706240825,5.83
하정식당,일본식주점,봉천동 702-78,4.1,11,55,37.4913303,126.9273256,811.2010800247177,5.71
초밥아저씨,"초밥,롤",신림동 1602-2,3.3,23,30,37.4814294,126.9281987,341.2221447670285,5.6
길초밥,"초밥,롤",신림동 1587-29,3.3,20,42,37.4820106,126.9279009,295.26314442677904,5.55
스시나마,"초밥,롤",신림동 1641-9,3.1,23,37,37.4831503,126.9299798,128.08542005019072,5.42
혼맛스시,"초밥,롤",신림동 1421-60,4.2,10,28,37.4852859,126.9303903,130.08113891213196,5.4
구루메키친,일본식주점,신림동 1433-95,3.8,12,26,37.4846732,126.9271121,228.60898629782355,5.24
오토야,일식,신림동 1637-8,3.8,13,16,37.481437,126.9297306,315.3889610496552,5.17
스시락,"초밥,롤",신림동 1424-11,3.6,12,27,37.4860714,126.9296713,200.0134197925045,5.05
큐슈라멘 신림점,일본식라면,신림동 1459-3,3.4,15,10,37.486735,126.9259484,426.4161613776189,4.75
우마,일본식주점,신림동 1695,3.7,6,83,37.4804076,126.9293925,430.3954959558861,4.67
학주스시,"초밥,롤",신림동 1429-9,4.8,4,30,37.4888697,126.9277452,538.1774967153505,4.48
탐나종합어시장,일식집,신림동 1422-6,2.5,10,83,37.4847945,126.932142,227.12183095222903,4.19
현쇼쿠도,일본식주점,신림동 1429-2,4.2,5,17,37.48913,126.9275346,571.5463966247721,4.19
진화로 신림본점,일본식주점,신림동 1430-50,3.3,3,94,37.4874341,126.9275181,398.83661868603673,3.67
히토리더사까나,일본식주점,신림동 1639-58,3.7,3,38,37.4831135,126.9277042,214.92763054394572,3.53
도쿄술집 신림역점,일본식주점,신림동 1640-35,2.8,4,48,37.4834702,126.9289915,106.6452409967562,3.38
남오토코 신림점,일본식주점,신림동 1640-28,5.0,2,17,37.4835778,126.9287344,112.0061334442448,3.37
도모다찌,일본식주점,봉천동 972-30,5.0,2,8,37.4903406,126.9260054,747.5607891046694,3.09
유우,일본식주점,봉천동 721-6,5.0,2,6,37.4920018,126.9272549,885.108485665716,2.99
단빠,일식집,신대방동 395-70,4.5,2,9,37.4921385,126.9242551,995.9161064185128,2.91
새옹,"초밥,롤",신림동 1441-36,2.3,7,5,37.4885922,126.9261593,570.7357986887512,2.64
찬,일본식주점,신림동 1432-176,1.0,1,24,37.4872434,126.927955,362.7291246972014,1.57
시부야38 신림본점,일본식주점,신림동 1640-30,0.0,0,31,37.4834141,126.9285581,135.847169101717,1.39
