name,category,address,score,eval_cnt,review_cnt,lat,lng,distance,JMS
월화고기 보라매직영점,"육류,고기",봉천동 732-3,4.2,103,215,37.4915849,126.9262895,865.5576872472375,10.0
신림춘천집 본점,닭요리,신림동 1640-28,4.6,78,57,37.4835778,126.9287344,112.0061334442448,9.71
정담은보쌈 신림점,"족발,보쌈",봉천동 959-4,4.3,54,123,37.4851801,126.9353297,510.91387198497046,8.86
모스키친,"돈까스,우동",신대방동 344-15,4.2,56,101,37.49749630000001,126.9276479,1481.0072861331355,8.68
서일순대국,순대,신대방동 377-1,3.4,118,175,37.4980298,126.9207304,1720.410903804032,8.61
시간을들이다,"제과,베이커리",상도동 304-12,4.3,46,115,37.4976148,126.9304791,1485.3641308238898,8.56
서울갈비 신림점,갈비,신림동 1410-17,4.2,48,137,37.4849462,126.9335792,354.3999253261506,8.55
중화요리팔공,중화요리,신림동 10-621,4.3,47,80,37.4840434,126.9370848,656.2134493843662,8.46
포말커피,카페,신림동 1432-119,4.7,27,148,37.4857522,126.9278553,228.5499919144463,8.31
마뇨떡볶이,떡볶이,신림동 1638-1,4.1,46,100,37.4821999,126.928909,239.6602837366632,8.2
춘천골숯불닭갈비,닭요리,신림동 1433-128,4.8,24,78,37.4849715,126.9266205,278.6582658375843,7.97
상남스시,"초밥,롤",신대방동 361-50,4.1,37,132,37.4981715,126.9238203,1628.912095910924,7.96
멕스칸즉석햄버거,분식,봉천동 698-28,4.6,28,71,37.4897374,126.9287369,613.0049859228026,7.94
아리차이 신림점,중화요리,신림동 1430-11,3.8,64,45,37.4875877,126.9282599,388.5766247837765,7.91
깡통닭갈비,닭요리,신림동 1433-69,4.1,28,290,37.4847296,126.9277671,174.01679963335152,7.83
안단단맛,디저트카페,신림동 1635-44,4.9,24,38,37.4803229,126.9286984,447.2081175787839,7.81
사생활,카페,신림동 496-37,4.1,32,159,37.487749,126.9165045,1222.8715906609652,7.8
미나리생삼겹,삼겹살,신림동 1433-139,4.4,29,77,37.4843648,126.9266823,262.35335459704686,7.77
부엉이돈가스 롯데백화점 관악점,"돈까스,우동",봉천동 729-22,4.6,22,110,37.4905756,126.9249911,812.6566133556295,7.69
봉평옹심이메밀칼국수,국수,신림동 1450-24,4.5,28,49,37.489105,126.9252734,661.8688028712425,7.66
만성찬팅,양꼬치,신림동 75-42,3.3,60,153,37.4830329,126.9304416,154.410075695072,7.48
라공방 신림점,중화요리,신림동 1422-5,3.4,53,144,37.4847217,126.9300784,62.443638376714425,7.45
막불감동 신림본점,냉면,신림동 1433-60,3.7,41,97,37.4842556,126.928156,132.1344710622403,7.4
우리축산정육식당,"육류,고기",신림동 1432-126,3.9,32,116,37.4850484,126.9280418,166.31209297204617,7.39
구영회참치&초밥 신림점,참치회,신림동 1637-26,4.4,23,63,37.4817818,126.9292056,279.7789933250796,7.29
일상식당,일식,봉천동 707-3,4.4,26,30,37.4913902,126.9276786,810.383942260207,7.21
고베규카츠 신림점,"돈까스,우동",신림동 1639-27,3.7,26,308,37.4835127,126.9282073,153.0425451229405,7.21
디자이너리카페,카페,신림동 1465-12,3.6,33,184,37.4850079,126.9240883,497.7929494752445,7.2
고기싸롱 신대방역점,고기뷔페,신림동 522-3,4.5,20,57,37.4842271,126.9137908,1399.6519400994798,7.14
오첨지,"해물,생선",신림동 1639-32,3.9,24,108,37.4831272,126.928517,162.10415338605887,6.93
가네끼스시,"초밥,롤",신대방동 395-69,4.1,20,108,37.4912431,126.9240825,917.789803091108,6.9
효자골,감자탕,신림동 1427-17,4.1,25,40,37.488072,126.9294007,423.0518385347009,6.86
서울집 신림직영점,"육류,고기",신림동 1430-12,4.6,14,96,37.4875265,126.9280697,387.8524913683349,6.85
신림황소곱창,"곱창,막창",신림동 1434-14,4.1,16,217,37.484851,126.9270462,238.86231758005607,6.83
쿠우쿠우 보라매공원점,해산물뷔페,신대방동 395-69,2.9,60,125,37.4912431,126.9240825,917.789803091108,6.73
서우얼큰칼국수,국수,신림동 525-29,4.4,20,23,37.4829012,126.9163869,1180.4769826009767,6.66
원조민속순대타운,순대,신림동 1640-31,3.3,30,175,37.4832519,126.9287583,138.27977418048567,6.63
아웃백스테이크하우스 신대방점,패밀리레스토랑,신대방동 395-69,4.1,19,56,37.4912431,126.9240825,917.789803091108,6.56
스시이치자,"초밥,롤",신림동 1459-17,4.9,12,39,37.4867785,126.9253757,469.1420259239256,6.53
강남곱창이야기 신림점,"곱창,막창",신림동 1438-17,4.5,13,72,37.4867884,126.9263717,402.6077626609025,6.5
비엔나커피하우스 신림점,커피전문점,신림동 1431-12,4.4,15,51,37.4865171,126.9289378,257.42941839976095,6.49
고앤고 본점,"육류,고기",봉천동 959-2,4.7,14,28,37.4850696,126.9356716,538.3622323975558,6.47
전주익산집,순대,신림동 1640-31,3.2,20,580,37.4832519,126.9287583,138.27977418048567,6.47
소년의레시피,이탈리안,신림동 1695,3.9,24,30,37.4804076,126.9293925,430.3954959558861,6.43
테이블1629,카페,봉천동 947-15,4.3,14,71,37.4830398,126.938708,810.624007423237,6.4
시골장칼국수,국수,신림동 1421-49,4.8,15,11,37.4853697,126.9306876,152.33879207781158,6.35
신풍루곱창,"곱창,막창",봉천동 957-18,3.7,22,65,37.4857527,126.9376859,727.6037556389288,6.35
틈새라면 신림점,분식,신림동 1638-20,4.1,17,48,37.4826828,126.9293962,178.23878405812607,6.33
고모네정육식당 신원시장점,"육류,고기",신림동 1602-1,3.6,22,80,37.4816253,126.9279369,331.0541803133518,6.3
스타벅스 보라매공원R점,커피전문점,신대방동 395-65,4.1,17,39,37.4920496,126.9234976,1021.1698949970656,6.25
황제갈비,갈비,신림동 1411-28,4.8,13,17,37.4843291,126.9332929,321.197615975373,6.25
얹다,일본식라면,신림동 468-1,4.7,15,9,37.4859408,126.9211553,772.4243987623607,6.16
술이남,"호프,요리주점",신림동 1431-43,4.7,10,52,37.4872975,126.928151,361.5229951958848,6.13
룸펜,"호프,요리주점",신림동 1424-3,5.0,10,23,37.4863724,126.9297721,233.71181203779523,6.1
달다어요,카페,신림동 1419-23,3.8,16,80,37.4864657,126.9313222,284.8606979843259,6.09
진1926 보라매점,"육류,고기",신대방동 395-73,4.7,12,21,37.4917313,126.9251532,919.5057255425468,6.09
해족단,술집,신림동 1429-4,4.0,15,57,37.4892824,126.9270507,602.531531866743,6.09
루체에살레,이탈리안,신림동 1455-1,4.9,10,28,37.4878463,126.925582,535.674672908637,6.08
순곱이네,"찌개,전골",신림동 1433-18,4.4,11,62,37.48491,126.928582,118.1447413220982,6.06
차이30,중식,신대방동 395-70,4.6,9,82,37.4921385,126.9242551,995.9161064185128,6.03
오늘은 이태리,이탈리안,신림동 1433-99,4.7,10,40,37.484294,126.9274205,197.03225551224944,6.02
킴쓰해물로스,"해물,생선",신림동 1637-3,4.1,12,80,37.4819831,126.9296437,254.59311568800985,5.99
투닷츠베이커리 (휴업중),"제과,베이커리",신림동 1639-4,3.7,18,54,37.4834779,126.9271552,237.4849368049265,5.99
사이공본가 신림점,베트남음식,신림동 1433-88,4.0,13,75,37.4842235,126.9276952,172.86636042989116,5.98
도우다베이커리,"제과,베이커리",신림동 1442-17,4.4,16,9,37.4891394,126.9254888,654.1156755170749,5.94
포라인스커피,커피전문점,신림동 1639-6,3.5,26,24,37.483505,126.9273628,219.3981687431917,5.93
참치집,참치회,신림동 1419-7,4.6,15,6,37.4866323,126.9308189,281.8111058265414,5.91
스타벅스 신림역포도몰점,커피전문점,신림동 1641-101,3.9,18,24,37.4840084,126.9301123,50.03477154937198,5.91
문성골족발집,"족발,보쌈",신림동 1636-35,4.3,9,118,37.48078539999999,126.9281219,410.64152905330593,5.9
서평면옥,냉면,신대방동 395-70,4.2,15,19,37.4921385,126.9242551,995.9161064185128,5.88
미남포차,실내포장마차,신림동 1429-2,4.7,9,43,37.48913,126.9275346,571.5463966247721,5.87
삼촌집,"초밥,롤",신림동 1458-2,4.7,11,16,37.4872926,126.9257245,482.6311706240825,5.83
테이스티빌런,"호프,요리주점",신림동 1433-172,4.9,8,38,37.484705,126.9258531,338.74557988415444,5.8
삼촌네,순대,신림동 1640-38,3.5,13,173,37.4832236,126.9290222,129.266183812478,5.79
