name,category,address,score,eval_cnt,review_cnt
아리차이 신림점,중화요리,(지번) 신림동 1430-11,3.8,64건,리뷰 45
디자이너리카페,카페,(지번) 신림동 1465-12,3.6,33건,리뷰 184
원조민속순대타운,순대,(지번) 신림동 1640-31,3.3,30건,리뷰 175
월화고기 보라매직영점,"육류,고기",(지번) 봉천동 732-3,4.2,103건,리뷰 215
막불감동 신림본점,냉면,(지번) 신림동 1433-60,3.7,41건,리뷰 97
미가할매집,"육류,고기",(지번) 신림동 1428-21,3.7,16건,리뷰 31
포말커피,카페,(지번) 신림동 1432-119,4.7,27건,리뷰 148
멕스칸즉석햄버거,분식,(지번) 봉천동 698-28,4.6,28건,리뷰 71
만성찬팅,양꼬치,(지번) 신림동 75-42,3.3,60건,리뷰 153
깡통닭갈비,닭요리,(지번) 신림동 1433-69,4.1,28건,리뷰 290
춘천골숯불닭갈비,닭요리,(지번) 신림동 1433-128,4.8,24건,리뷰 78
강강술래 신림점,"육류,고기",(지번) 신림동 10-518,2.3,37건,리뷰 106
서울갈비 신림점,갈비,(지번) 신림동 1410-17,4.2,48건,리뷰 137
마뇨떡볶이,떡볶이,(지번) 신림동 1638-1,4.1,46건,리뷰 100
서울집 신림직영점,"육류,고기",(지번) 신림동 1430-12,4.6,14건,리뷰 96
아리차이 신림점,중화요리,(지번) 신림동 1430-11,3.8,64건,리뷰 45
디자이너리카페,카페,(지번) 신림동 1465-12,3.6,33건,리뷰 184
원조민속순대타운,순대,(지번) 신림동 1640-31,3.3,30건,리뷰 175
월화고기 보라매직영점,"육류,고기",(지번) 봉천동 732-3,4.2,103건,리뷰 215
막불감동 신림본점,냉면,(지번) 신림동 1433-60,3.7,41건,리뷰 97
미가할매집,"육류,고기",(지번) 신림동 1428-21,3.7,16건,리뷰 31
포말커피,카페,(지번) 신림동 1432-119,4.7,27건,리뷰 148
멕스칸즉석햄버거,분식,(지번) 봉천동 698-28,4.6,28건,리뷰 71
만성찬팅,양꼬치,(지번) 신림동 75-42,3.3,60건,리뷰 153
깡통닭갈비,닭요리,(지번) 신림동 1433-69,4.1,28건,리뷰 290
춘천골숯불닭갈비,닭요리,(지번) 신림동 1433-128,4.8,24건,리뷰 78
강강술래 신림점,"육류,고기",(지번) 신림동 10-518,2.3,37건,리뷰 106
서울갈비 신림점,갈비,(지번) 신림동 1410-17,4.2,48건,리뷰 137
마뇨떡볶이,떡볶이,(지번) 신림동 1638-1,4.1,46건,리뷰 100
서울집 신림직영점,"육류,고기",(지번) 신림동 1430-12,4.6,14건,리뷰 96
하정식당,일본식주점,(지번) 봉천동 702-78,4.1,11건,리뷰 55
미남참치,참치회,(지번) 신림동 1433-114,3.2,13건,리뷰 30
고베규카츠 신림점,"돈까스,우동",(지번) 신림동 1639-27,3.7,26건,리뷰 308
정담은보쌈 신림점,"족발,보쌈",(지번) 봉천동 959-4,4.3,54건,리뷰 123
신림황소곱창,"곱창,막창",(지번) 신림동 1434-14,4.1,16건,리뷰 217
비엔나커피하우스 신림점,커피전문점,(지번) 신림동 1431-12,4.4,15건,리뷰 51
우리축산정육식당,"육류,고기",(지번) 신림동 1432-126,3.9,32건,리뷰 116
술이남,"호프,요리주점",(지번) 신림동 1431-43,4.7,10건,리뷰 52
미나리생삼겹,삼겹살,(지번) 신림동 1433-139,4.4,29건,리뷰 77
토당골,삼계탕,(지번) 신림동 1425-8,4.5,6건,리뷰 31
또순이순대 본점,순대,(지번) 신림동 1640-31,1.6,49건,리뷰 185
신촌황소곱창,"곱창,막창",(지번) 신림동 1433-63,3.2,18건,리뷰 40
고모네정육식당 신원시장점,"육류,고기",(지번) 신림동 1602-1,3.6,22건,리뷰 80
제주탐하리 신림점,"육류,고기",(지번) 신림동 1433-67,3.3,6건,리뷰 72
효자골,감자탕,(지번) 신림동 1427-17,4.1,25건,리뷰 40
