date,review,score
2021-09-09,"불친절, 순대도 너무 작게 주고, 1인분은 포장도 안해주고, 내장만 잔뜩 넣어주고 비싸게 팔고, 동네 가게지만 왜 유명한지도 모르겠고 ",1
2021-09-01,순대안에 시래기 들어있어서 독특하고 국물 시원한 편,3
2021-08-11,,3
2021-08-03,,5
2021-07-04,"평범한맛,  계산받으시는 여자분(사장님 이신가?) 상당히 불친절. 불친절할만큼 맛집은 아님",1
2021-06-28,맛있습니다. 잡내가 없어요.,5
2021-06-13,,4
2021-06-09,다들 불친절하다는 평이 많아서 걱정했는데 실제로 불친절 하십니다.. 국밥 맛도 밍밍하고 김치도 싱거워서 새우젓이나 다대기를 개인적으로 추가해서 먹었습니다.,1
2021-06-03,"국밥 매니아라 기대를 많이 했던 곳.  돼지 잡내를 잘 잡아서 놀람. 식당 내부에도 돼지 비린내가 별로 안났음.  국물이 깔끔했음.  장사가 잘 되어서 바로 옆에 점포를 또 낼만한 이유가 있었음..  뭐 한국의 여느 노포와 마찬가지로,  위생에 좀 더 신경 썼으면 하는... ( 뭐 엄청 더러운건 아니지만... 그래도 좀 ...)  요즘 물가가 많이 올랐다고...",4
2021-06-02,"유튜브 보고 찾아갔는데 먼지막에서 지난 주에 먹고(공기 따로 6,000원) (내장을 무심히 아끼지 않고 담아낸 느낌) 서일에서 이번 주에 먹었는데(8,000원), (내장은 1m 두께로 썰었나? 하는 느낌) 재방문의사는 없습니다 이 근방 지나면 차라리 먼지막을 선택하겠습니다",1
2021-05-29,비위생적이고 맛도 평범합니다,1
2021-05-28,위생 최악... 공기밥 재활용해요 고추가루있는 한술 뜬 먹던 밥 줘서 바꿔달라니까 죄송하다는 말한마디없었음 그후로 안가요,1
2021-05-22,맛 양,4
2021-05-21,특징이 있습니다 야채 순대라는점. 처음봤네요. 같이간 지인이 매우 만족했습니다. 야채순대라서 국물이 맑고 개운한 장점이 있습니다. 설렁탕과 순대국 중간에 있는 느낌. 제가 3점인 이유는 피순대를 좋아해서......ㅋㅋ순전히 개인의 취향으로 3점입니다,3
2021-04-30,,5
2021-04-27,유명하다고해서 가봤는데 맛있는건지 모르겠어요. 사장님인지 직원인지 불친절해서 불편했네요.;;;,1
2021-04-27,포장하면 공기밥 '원래' 안주는곳 ㅋㅋㅋㅋㅋㅋ집에 밥없는사람은 국만 먹어야하는곳 포장해오고 밥없어서 당황한곳 ㅡㅡ 맛도 그냥 쏘쏘,1
2021-04-25,서울 살면서 이정도 품질 순대국 밥 처음이에요!! 담백하고 돼지 냄새 없이 정말 맛있습니다!,5
2021-04-23,이렇게 느끼한 국물은 간만에 먹었네여 밑에 평을보믄 전엔 맛있었는지 모르겠지만 소문듣고 가본 저에겐 영 아닙니다 고기양도 별로고 그나마 깍두기하나 먹을만하고 나머진.....으,1
2021-04-19,,5
2021-04-17,돼지부속도 적당했고 순대도 맛있었어요! 국물이 진짜 괜찮네요!,5
2021-04-15,기대하고 멀리서 찾아갔는데 ㅠㅠ 그냥 평범했어요..,3
2021-04-03,,4
2021-03-25,,4
2021-03-21,존맛인데 평점왜이럼? 믿고가보세요,5
2021-03-17,오랜만에 방문.  역시 맛남. 고기양은 조금 줄어든듯? 김치랑 깍두기 맛남.  ,4
2021-03-14,,5
2021-03-09,이렇게 맛있을수가....도ㅐ지 꿉내가 향기롭다. 부드러운 머릿고기와 고소한 순대 깔끔하고 깊은 고깃 국물 먹다보면 시원함을 넘어서 상쾌하기까지 하다.,5
2021-03-07,,5
2021-02-17,처음 갔을땐 신세계였는데 두번째 방문땐 순대 양이좀 적어서 아쉬웠어요! 그래도 부속 많이 주시고 맛있어요 ㅎㅎ,4
2021-02-16,본관 주인때문에 기분 잡쳐서 그냥 나와버렸네요. 설 연휴 마지막날(14일)에 점심 먹으려고 들어가보니 사람이 많아보여서 자리부터 잡으려고 안쪽으로 들어갔더니 사장같은 노인네가 카운터에 앉아서는 방문자 기록부터 쓰라고 똥십은 표정으로 버럭 화부터 내더라구요...그대로 나와서 딴데 가려다가 결국 별관가서 먹었네요. 밥 먹는동안 기분 더러워서 맛있는 줄도 모르겠...,1
2021-02-15,,5
2021-02-06,맛있고 담백한 순대국집~,5
2021-02-04,,4
2021-01-25,언제 누구랑 가도 만족하는 곳,5
2021-01-14,,3
2020-12-13,푸짐하고 국물도 진해서 최고에요,5
2020-12-10,솔직히 유명세 정도는 아님. 그냥 어느 동네나 있는 괜찮는 국밥집 정도임,3
2020-11-29,나쁘지 않지만 이 동네서 8000원 내고 먹기는 좀 그렇다.,3
2020-11-28,가끔 생각나서 가는 맛집,4
2020-11-25,동네에 있어서 가는정도,3
2020-11-25,김치 깍두기 와.. 맛있다! 시래기순대는 감동적입니다. 김치를 한사발씩 먹게됨 왜이렇게 맛있죠? 순대국도 넘좋네요.. 뜨끈하니 아주 맛 좋습니다 사장님 여러분 건강하세요!~,5
2020-11-24,공기밥추가 돈도안받고 양도푸짐하고 좋아요!!,5
2020-11-19,그냥 평범함,3
2020-11-01,그냥 그대로 괜찮네,3
2020-10-30,가게 직원이 불친절합니다,1
