date,review,score
2021-09-10,고기 좋긴 해요 구워먹는 치즈가 비싸서 맘아플뿐 아 총각김치맛있어요,5
2021-08-25,"목살, 삼겹살 무조건 먹어야함. 된장찌개? 최고존맛 레시피 알고싶음 무저건 먹어야함. ㅎㅎ",5
2021-08-25,고기 정말 좋아하는데 다른 곳에비해 고기품질이 좋고 맛있더라고요 다음에 재방문 예정입니다 !!,5
2021-08-25,목살 너무 맛있어요 ㅠㅠ 자꾸 자꾸 생각나요 ,5
2021-08-25,근처에서 고깃집 찾다가 들렀는데 넘 맛있었어여ㅠㅠㅜ관자묵은지도 넘 맛있어서 자꾸 생각나여...굳굳,5
2021-08-24,리뷰 주작이라는게 뭔지 보여준 집,1
2021-07-26,,5
2021-07-13,가족들이랑 방문했는데 맛집이네요^^ 번창하세요~,5
2021-07-13,목살 맛있어요 보라매공원 근처 찾다가 들어갔는데 맛나게 잘 먹엇어용 ㅎㅎ,5
2021-07-11,,3
2021-07-02,고기육질이진짜좋네요 단백하고짱짱 넘맛있게먹고갑니당,5
2021-07-02,밥 평범한 거구요ㅋㅋㅋㅋㅋ서비스 진짜 최악입니다 가지마세요 ,1
2021-06-29,,5
2021-06-23,가게도 깔끔하니 쾌적해서 좋았고 ㅋㅋㅋ 목살이 넘 부드러워서 좋았습니다 굿 !!,5
2021-06-22,목살이 먹고싶어서 먹으러갔는데 질이 좋아서 그런지 퍽퍽하지도않고 부드럽게 잘 먹었어요! 찌개도 맛있어서 밥이랑 말아먹었네용 ㅎㅎ,5
2021-06-17,태어나서 먹어본 목살 중에 제일 맛있네요. 목살이 이렇게 맛있는 건 줄 왜 몰랐을까요?,5
2021-05-30,고기와 반찬 질이 상당히 좋고 맛있습니다. 특히 육회가 가장 맛있었네요,5
2021-05-25,사람 많아서 그런지 서비스가 정말 엉망이었어요 다른 테이블처럼 구워주는 줄 알았는데 저희는 언제언제 뒤집으세요~ 하고 가버리시네요 전부 직접 구워먹었어요.. 애초에 옆에 회식해서 시끄러울 것 같아 다른자리 요청했는데 만석이라 없다더니 자리 많더라고요   오랜만에 왔는데 별점이...? ,1
2021-05-23,"듀록 목살 정말 맛있습니다. 불에 구워먹는 파김치도 매력적이고, 콜키지도 2병까지 무료인점이 정말 마음에 들었습니다! 재방문 의사 100프로입니다 강추!",5
2021-05-15,여기 진짜 맛있음 ㅇㅇ,5
2021-04-29,고기가 부드럽고 너무 맛있었어요 자꾸 먹고 싶은 맛 ✨ 기본 반찬도 정갈해서 좋았고 직원분들도 친절하셔서 기분 좋게 먹고 나왔습니다!! 또 갈게요!!,5
2021-04-28,듀록 목살은 진짜~~ 진짜 부드러워요!! 최고 최고. 마늘 굽는거 필수고 ㅎㅎ 트러플명란솥밥도 너무 맛있었어요~ 트러플향 솔솔~ 트러플 안 좋아하던 친구들도 만족이요~! 주차장있어서 편하게 먹고왔습니다~ ^^ 번창하세요!,5
2021-04-20,맛좋은 고기가 참 좋았고 친절하셔서 더 좋았던 식당입니다 고기맛집 인정하고갑니다 또 올게요 ,5
2021-04-16,,5
2021-04-15,친구가 추천해서 가봤는데 고기 질도 좋고 맛있네요! 찌개도 맛있었어요!,5
2021-04-15,삼겹살이랑 목살 맛있어요 대신 갈 때마다 웨이팅이 살짝 있네요. 네이버 예약하고 방문하면 더 편할듯요.,4
2021-04-14,별점조작 싫어요,1
2021-04-14,여기 평점 조작하네  쪼코남무숲 핑크빛내맘에 설하 도현  같은 곳 5점씩 ㅎㅎ,1
2021-04-14,남자친구랑 데이트 겸 같이 왔는데 가게 분위기도 너무 좋고 고기 두툼하니 넘 맛있었어욤~ 치즈도 같이 해서 먹었는데 넘 꿀조합이구 맛있네요! 마지막으로 찌개도 먹었어요 가성비도 갑이구 넘 잘 먹었네요~,5
2021-04-14,목살 넘 존맛탱. 찌개랑 같이 먹었는데 합도 넘 굿굿. 가격도 괜찮고 양 많아서 배부르게 먹었던 집,5
2021-04-14,삼겹살이랑 목살 너무 맛있게 잘 먹었어요~^^ 고기 이렇게 두툼한거 처음 보네요...ㅎㅎ 육즙 대박이에요~ 직원 분들도 친절하세요 *^^*,5
2021-04-14,줄 서서 먹는집이래서 한 번 와 봤는데 고기도 직접 구워주셔서 편했고 고기 질도 좋네요. 찌개도 너무 맛났어요. 고기 두툼하니 맛나네요,5
2021-04-10,"동네주민이라 자주가던 곳인데, 최근에 갔더니 테이블 관리가 전혀 안됩니다.   월화의 장점중 하나가 전문적으로 고기를 구워주셨다는 건데 고기 올려두시고 안오셔서 그냥 직접 구우면 되냐 여쭤보니 구워주실거라고 하시더니 또 안오셔서ㅎㅎ 그냥 직접 자르고 구우니 슥 보시고 못본 척 그냥 가시더라구요  옆테이블은 주문 잘 못 나오고, 고기 올려두시고 사라지셔서 고...",1
2021-04-04,,4
2021-03-27,,5
2021-03-19,듀록목살 육즙 풍미 그득그득!! 웨이팅 이해됨 두병까지 콜키지 무료! 다음엔 와인가져가야지  ★ 절대비추 지인에 가지말라고 할 집 ★★ 재방문의사 없음/평범 혹은 그이하 ★★★ 괜찮음 누가 가자고하면 다시감 ★★★★ 맛있음 재방문의사 있음 ★★★★★ 추천 찐맛집 ,4
2021-02-18,고기 이렇게 두꺼운건 처음 먹어봐요 ㅋ품질도 너무 좋고 맛있네요^-^ 사장님도 친절하시고 서비스도 너무좋으세요 ♡,5
2021-02-01,반찬도 깔끔하고 된장찌개 기본으로 나오는것도 맛있어요! 항정살 최고에요. 항정살 너무 늦게가면 품절이라 참고하세요,5
2021-01-27,므여 ~~ 가볼려뜨만  방송 믿지말라긍 그럼 방송 사고잉겨 ~~ 끙 비빔 냉면도 주고~~명랑솥밥드 드드드,1
2021-01-26,솥밥에 트러플은 무슨ㅋㅋㅋ 방송 믿지마세요,1
2021-01-09,,4
2020-12-06,고기 좋아요. 감치찌개도 맛있습니다.,4
2020-12-02,듀록목살 최고~ 가격은 좀 비싸지만 가끔 올게요 ㅠ,4
2020-11-10,고기 맛도 좋고 가성비 좋아요 분위기도 굿 ㅎㅎ,5
2020-11-10,고기 질이 너무 좋아요... 값어치를 충분히 하는 맛이었습니다ㅎㅎ 엄청 부드럽고 잡내도 없고 최고였네요 매장도 전체적으로 깔끔하고 좋아요,5
2020-11-10,,1
2020-11-03,"외관부터 너무 이뻐서 우와~하고 들어갔는데 내부도 진짜 깨끗했어요! 저는 항정살이랑 삼겹 먹고왔는데 고기가 진~~~짜 두툼했어요!! 두툼해서 그런지 구워서 먹는데 육즙도 많이 느껴지더라구요 음식도 맛있고, 가게도 청결하고 전반적으로 다 만족스러웠어요♡♡",5
2020-11-02,손님 많은 만큼 여기가 맛집이네요!  외식하기도 조금 조심스러웠지만 쾌적하고 청결을 준수해서  깨끗하게 먹고 왔어요! 다음번에 또 방문하고 싶은 곳입니다~~~번창하세요,5
2020-10-30,뼈목살 맛있게 먹었어요. 손님이 많아서인지 서비스가 좋지는 않네요.  냉면 주문했는데 20분이 지나도 안나와서 결국 취소하고 안먹고 나왔어요. ,2
2020-10-28,,5
2020-10-25,고기는 확실히 맛있습니다. 단체 손님이 많아 너무 바뻐서 신경을 못쓰는 점이 아쉽습니다. 처음 주문할 때 분명히 콜라 주문했는데 안갖다 줌. 그래서 8번 이상 갖다 달라고 계속 요청했는데 계산서에 음료수만 계속 추가만하고 음료수를 안갖다 줌.,4
2020-09-14,매장이 엄청 깔끔!!!! 테이블 사이 간격도 넓어서 사회적 거리두기도 잘 진행 되는거 같았어요ㅎ 일단 기본적으로 반찬 완전 신선하고 간이 딱 좋았고 고기는 말해뭐해 진짜 맛있어요! 모든 음식 재료가 상태가 좋은거 같더라구요 주차장도 있어서 편하게 방문할 수 있었어요~또 방문할게용,5
